hallName,roomNumber,bedNumber,status
South,206,C,free
South,206,D,free
South,207,A,free
South,207,B,free
South,207,C,free
South,207,D,free
South,208,A,free
South,208,B,free
South,208,C,free
South,208,D,free
South,209,A,free
South,209,B,free
South,209,C,free
South,209,D,free
South,210,A,free
South,210,B,free
South,210,C,free
South,210,D,free
South,211,A,free
South,211,B,free
South,211,C,free
South,211,D,free
South,212,A,free
South,212,B,free
South,212,C,free
South,212,D,free
South,213,A,free
South,213,B,free
South,213,C,free
South,213,D,free
South,214,A,free
South,214,B,free
South,214,C,free
South,214,D,free
South,215,A,free
South,215,B,free
South,215,C,free
South,215,D,free
South,216,A,free
South,216,B,free
South,216,C,free
South,216,D,free
South,217,A,free
South,217,B,free
South,217,C,free
South,217,D,free
South,218,A,free
South,218,B,free
South,218,C,free
South,218,D,free
South,219,A,free
South,219,B,free
South,219,C,free
South,219,D,free
South,220,A,free
South,220,B,free
South,220,C,free
South,220,D,free
South,221,A,free
South,221,B,free
South,221,C,free
South,221,D,free
South,222,A,free
South,222,B,free
South,222,C,free
South,222,D,free
South,223,A,free
South,223,B,free
South,223,C,free
South,223,D,free
South,224,A,free
South,224,B,free
South,224,C,free
South,224,D,free
South,225,A,free
South,225,B,free
South,225,C,free
South,225,D,free
South,226,A,free
South,226,B,free
South,226,C,free
South,226,D,free
South,227,A,free
South,227,B,free
South,227,C,free
South,227,D,free
South,228,A,free
South,228,B,free
South,228,C,free
South,228,D,free
South,229,A,free
South,229,B,free
South,229,C,free
South,229,D,free
South,230,A,free
South,230,B,free
South,230,C,free
South,230,D,occupied
North,101,A,occupied
North,101,B,occupied
North,101,C,free
North,101,D,free
North,102,A,free
North,102,B,free
North,102,C,free
North,102,D,free
North,103,A,Vacant
North,103,B,free
North,103,C,occupied
North,103,D,free
North,104,A,free
North,104,B,free
North,104,C,free
North,104,D,free
North,105,A,free
North,105,B,free
North,105,C,free
North,105,D,free
North,106,A,free
North,106,B,free
North,106,C,free
North,106,D,free
North,107,A,free
North,107,B,free
North,107,C,free
North,107,D,free
North,108,A,free
North,108,B,free
North,108,C,free
North,108,D,free
North,109,A,free
North,109,B,free
North,109,C,free
North,109,D,free
North,110,A,free
North,110,B,free
North,110,C,free
North,110,D,free
North,111,A,free
North,111,B,free
North,111,C,free
North,111,D,free
North,112,A,free
North,112,B,free
North,112,C,free
North,112,D,free
North,113,A,free
North,113,B,free
North,113,C,free
North,113,D,free
North,114,A,free
North,114,B,free
North,114,C,free
North,114,D,free
North,115,A,free
North,115,B,free
North,115,C,free
North,115,D,free
North,116,A,free
North,116,B,free
North,116,C,free
North,116,D,free
North,117,A,free
North,117,B,free
North,117,C,free
North,117,D,free
North,118,A,free
North,118,B,free
North,118,C,free
North,118,D,free
North,119,A,free
North,119,B,free
North,119,C,free
North,119,D,free
North,120,A,free
North,120,B,free
North,120,C,free
North,120,D,free
North,121,A,free
North,121,B,free
North,121,C,free
North,121,D,free
North,122,A,free
North,122,B,free
North,122,C,free
North,122,D,free
North,123,A,free
North,123,B,free
North,123,C,free
North,123,D,free
North,124,A,free
North,124,B,free
North,124,C,free
North,124,D,free
North,125,A,free
North,125,B,free
North,125,C,free
North,125,D,free
North,126,A,free
North,126,B,free
North,126,C,free
North,126,D,free
North,127,A,free
North,127,B,free
North,127,C,free
North,127,D,free
North,128,A,free
North,128,B,free
North,128,C,free
North,128,D,free
North,129,A,free
North,129,B,free
North,129,C,free
North,129,D,free
North,130,A,free
North,130,B,free
North,130,C,free
North,130,D,free
North,201,A,occupied
North,201,B,occupied
North,201,C,occupied
North,201,D,occupied
North,202,A,occupied
North,202,B,free
North,202,C,free
North,202,D,free
North,203,A,free
North,203,B,free
North,203,C,occupied
North,203,D,free
North,204,A,free
North,204,B,free
North,204,C,free
North,204,D,free
North,205,A,free
North,205,B,free
North,205,C,free
North,205,D,free
North,206,A,free
North,206,B,free
North,206,C,free
North,206,D,free
North,207,A,free
North,207,B,free
North,207,C,free
North,207,D,free
North,208,A,free
North,208,B,free
North,208,C,free
North,208,D,free
North,209,A,free
North,209,B,free
North,209,C,free
North,209,D,free
North,210,A,free
North,210,B,occupied
North,210,C,free
North,210,D,free
North,211,A,occupied
North,211,B,free
North,211,C,free
North,211,D,free
North,212,A,free
North,212,B,free
North,212,C,free
North,212,D,free
North,213,A,free
North,213,B,free
North,213,C,free
North,213,D,free
North,214,A,free
North,214,B,free
North,214,C,free
North,214,D,free
North,215,A,free
North,215,B,free
North,215,C,free
North,215,D,free
North,216,A,free
North,216,B,free
North,216,C,free
North,216,D,free
North,217,A,free
North,217,B,free
North,217,C,free
North,217,D,free
North,218,A,free
North,218,B,free
North,218,C,free
North,218,D,free
North,219,A,free
North,219,B,free
North,219,C,free
North,219,D,free
North,220,A,free
North,220,B,free
North,220,C,free
North,220,D,free
North,221,A,free
North,221,B,free
North,221,C,free
North,221,D,free
North,222,A,free
North,222,B,free
North,222,C,free
North,222,D,free
North,223,A,free
North,223,B,free
North,223,C,free
North,223,D,free
North,224,A,free
North,224,B,free
North,224,C,free
North,224,D,free
North,225,A,free
North,225,B,free
North,225,C,free
North,225,D,free
North,226,A,free
North,226,B,free
North,226,C,free
North,226,D,free
North,227,A,free
North,227,B,free
North,227,C,free
North,227,D,free
North,228,A,free
North,228,B,free
North,228,C,free
North,228,D,free
North,229,A,free
North,229,B,free
North,229,C,free
North,229,D,free
North,230,A,free
North,230,B,free
North,230,C,free
North,230,D,free
